mean_energy_eV,Te_eV,R625,R626,R627,R628,R629,R630,R631,R633,R634,R636,R638,R639,R640,R641,R642,R653_C18,R655,R656,R657,R643,R644,R645,R646,R647,R648,R649,R650,R651,R652,R653,R658,R659,R660,R661,R663,R665,R666,R667,R672,R668,R669,R670,R671,R673
3.879490,2.586327,9.195620E-18,7.819100E-17,1.375370E-13,2.295340E-15,5.101340E-15,5.065380E-15,3.335340E-16,1.262420E-17,1.430590E-13,4.471320E-15,2.508330E-15,1.678450E-15,1.092070E-15,8.712110E-16,6.914640E-16,1.862600E-16,8.808450E-18,5.980090E-18,6.133320E-17,3.588820E-16,1.503730E-16,2.207470E-17,8.573840E-17,3.166010E-16,2.273550E-16,7.210110E-17,6.717480E-17,5.396510E-17,1.262580E-16,7.049560E-17,9.535940E-18,2.502500E-19,3.003720E-17,7.143400E-14,9.414730E-16,4.168700E-16,5.437090E-16,1.255470E-16,4.844860E-19,3.468000E-16,6.958800E-16,1.875000E-15,3.317530E-18,3.919730E-17
4.223070,2.815380,1.056370E-17,8.530910E-17,1.319830E-13,2.295650E-15,5.202260E-15,5.170470E-15,4.178420E-16,2.046530E-17,1.477680E-13,4.333080E-15,2.428630E-15,1.623520E-15,1.068170E-15,8.592010E-16,6.914130E-16,2.530480E-16,1.117550E-17,8.665790E-18,9.415810E-17,3.635000E-16,1.541830E-16,2.687160E-17,1.053160E-16,3.835780E-16,2.837740E-16,9.007530E-17,8.454310E-17,6.798080E-17,1.624210E-16,8.862580E-17,1.626840E-17,4.889040E-19,3.280490E-17,7.524520E-14,1.037240E-15,4.607360E-16,5.956030E-16,1.380160E-16,7.822410E-19,3.895100E-16,7.986540E-16,2.296430E-15,4.532100E-18,5.881470E-17
4.566660,3.044440,1.190620E-17,9.149060E-17,1.274130E-13,2.300020E-15,5.299390E-15,5.271300E-15,5.144610E-16,3.216340E-17,1.521090E-13,4.175390E-15,2.336260E-15,1.560040E-15,1.036380E-15,8.397440E-16,6.837860E-16,3.338500E-16,1.383450E-17,1.218380E-17,1.401830E-16,3.635800E-16,1.559010E-16,3.213470E-17,1.269920E-16,4.557100E-16,3.475410E-16,1.103040E-16,1.041650E-16,8.378540E-17,2.047650E-16,1.089510E-16,2.669210E-17,9.075380E-19,3.520930E-17,7.908610E-14,1.129350E-15,5.029840E-16,6.436950E-16,1.496050E-16,1.218590E-18,4.301020E-16,9.004230E-16,2.759640E-15,6.062450E-18,8.599870E-17
4.910250,3.273500,1.319850E-17,9.667600E-17,1.237720E-13,2.308070E-15,5.390650E-15,5.365820E-15,6.242900E-16,4.919210E-17,1.561370E-13,4.007040E-15,2.236740E-15,1.491740E-15,9.992530E-16,8.149390E-16,6.704340E-16,4.293310E-16,1.677310E-17,1.668100E-17,2.032310E-16,3.600180E-16,1.558230E-16,3.784800E-17,1.507170E-16,5.323730E-16,4.186880E-16,1.327720E-16,1.259850E-16,1.013140E-16,2.536950E-16,1.313670E-16,4.234300E-17,1.611480E-18,3.722470E-17,8.294710E-14,1.216110E-15,5.428420E-16,6.876710E-16,1.602470E-16,1.840750E-18,4.680340E-16,9.997210E-16,3.263450E-15,7.967060E-18,1.230140E-16
5.253840,3.502560,1.441600E-17,1.008520E-16,1.209950E-13,2.319380E-15,5.474380E-15,5.452370E-15,7.478450E-16,7.332840E-17,1.598800E-13,3.832970E-15,2.132550E-15,1.420440E-15,9.582210E-16,7.859110E-16,6.522680E-16,5.393570E-16,1.996630E-17,2.227940E-17,2.874630E-16,3.533420E-16,1.541730E-16,4.397000E-17,1.763290E-16,6.126330E-16,4.968320E-16,1.573460E-16,1.498150E-16,1.203940E-16,3.093520E-16,1.556430E-16,6.511540E-17,2.746640E-18,3.884300E-17,8.681490E-14,1.295970E-15,5.796030E-16,7.273460E-16,1.699040E-16,2.702990E-18,5.028390E-16,1.095040E-15,3.804840E-15,1.030350E-17,1.724470E-16
5.597440,3.731627,1.553770E-17,1.040560E-16,1.189740E-13,2.333400E-15,5.549300E-15,5.529730E-15,8.849820E-16,1.064870E-16,1.633880E-13,3.659100E-15,2.027490E-15,1.348710E-15,9.152690E-16,7.544700E-16,6.309080E-16,6.626780E-16,2.337270E-17,2.904230E-17,3.967950E-16,3.443450E-16,1.513250E-16,5.042780E-17,2.035270E-16,6.952570E-16,5.810540E-16,1.837360E-16,1.753030E-16,1.407200E-16,3.714700E-16,1.814020E-16,9.710760E-17,4.496050E-18,4.007720E-17,9.067320E-14,1.367730E-15,6.127070E-16,7.627200E-16,1.785800E-16,3.860450E-18,5.341980E-16,1.185020E-15,4.378570E-15,1.311830E-17,2.369260E-16
5.941020,3.960680,1.654900E-17,1.063770E-16,1.175990E-13,2.349580E-15,5.614880E-15,5.597410E-15,1.034960E-15,1.505620E-16,1.666920E-13,3.488670E-15,1.923220E-15,1.277700E-15,8.715290E-16,7.215400E-16,6.072080E-16,7.971370E-16,2.694340E-17,3.696320E-17,5.345010E-16,3.336400E-16,1.475370E-16,5.712840E-17,2.319140E-16,7.789020E-16,6.700270E-16,2.115470E-16,2.019940E-16,1.619100E-16,4.394170E-16,2.081810E-16,1.404630E-16,7.071380E-18,4.096000E-17,9.450480E-14,1.430730E-15,6.418410E-16,7.939710E-16,1.863190E-16,5.364110E-18,5.619840E-16,1.268650E-15,4.978030E-15,1.644390E-17,3.189300E-16
6.284020,4.189347,1.743720E-17,1.078630E-16,1.167770E-13,2.367430E-15,5.670220E-15,5.654530E-15,1.197080E-15,2.076270E-16,1.698260E-13,3.327090E-15,1.823120E-15,1.209810E-15,8.288030E-16,6.887380E-16,5.827650E-16,9.405080E-16,3.063420E-17,4.601160E-17,7.038830E-16,3.220560E-16,1.431760E-16,6.398100E-17,2.611020E-16,8.623410E-16,7.624180E-16,2.403890E-16,2.294480E-16,1.835980E-16,5.125390E-16,2.355520E-16,1.975630E-16,1.072430E-17,4.151000E-17,9.828870E-14,1.484270E-15,6.666860E-16,8.210860E-16,1.931170E-16,7.267870E-18,5.860110E-16,1.344950E-15,5.597270E-15,2.031640E-17,4.212150E-16
6.627860,4.418573,1.820420E-17,1.086470E-16,1.163900E-13,2.386510E-15,5.715880E-15,5.701710E-15,1.370550E-15,2.795660E-16,1.728270E-13,3.175000E-15,1.727530E-15,1.145220E-15,7.874320E-16,6.564930E-16,5.580630E-16,1.090340E-15,3.440850E-17,5.610260E-17,9.073630E-16,3.099300E-16,1.384280E-16,7.090920E-17,2.907520E-16,9.447100E-16,8.569470E-16,2.699020E-16,2.572700E-16,2.054600E-16,5.900840E-16,2.631460E-16,2.706460E-16,1.571850E-17,4.177880E-17,1.020250E-13,1.528740E-15,6.874140E-16,8.445450E-16,1.990850E-16,9.617140E-18,6.065250E-16,1.413900E-15,6.231780E-15,2.476200E-17,5.462740E-16
6.971590,4.647727,1.885250E-17,1.088670E-16,1.163390E-13,2.406380E-15,5.752590E-15,5.739740E-15,1.553190E-15,3.674100E-16,1.757010E-13,3.032580E-15,1.636510E-15,1.083830E-15,7.474980E-16,6.249770E-16,5.333080E-16,1.243190E-15,3.820890E-17,6.703890E-17,1.144860E-15,2.974630E-16,1.333990E-16,7.779790E-17,3.203540E-16,1.024800E-15,9.517540E-16,2.995470E-16,2.849210E-16,2.270630E-16,6.706960E-16,2.904630E-16,3.611060E-16,2.227150E-17,4.182070E-17,1.056930E-13,1.564660E-15,7.042520E-16,8.647170E-16,2.043060E-16,1.242870E-17,6.237680E-16,1.475400E-15,6.873260E-15,2.976410E-17,6.952680E-16
